Airline,IATA,Key,Hex
Far Eastern Air Transport,EF,524,020C
Japan Asia Airways,EG,525,020D
Air Nippon Network Co. Ltd.,EH,526,020E
Euro Harmony,EH,527,020F
SAETA,EH,528,0210
Aer Lingus,EI,529,0211
New England Airlines,EJ,530,0212
Emirates,EK,531,0213
Air Nippon,EL,532,0214
Aero Benin,EM,533,0215
Empire Airlines,EM,534,0216
Air Dolomiti,EN,535,0217
Express One International,EO,536,0218
Hewa Bora Airways,EO,537,0219
Iran Aseman Airlines,EP,538,021A
TAME,EQ,539,021B
Astar Air Cargo,ER,540,021C
Fly Europa,ER,541,021D
DHL International,ES,542,021E
EuropeSky,ES,543,021F
Ethiopian Airlines,ET,544,0220
Empresa Ecuatoriana De Aviacion,EU,545,0221
Atlantic Southeast Airlines,EV,546,0222
Eurowings,EW,547,0223
Air Santo Domingo,EX,548,0224
Europe Jet,EX,549,0225
Wings of England,EX,550,0226
Etihad Airways,EY,551,0227
Evergreen International Airlines,EZ,552,0228
Sun Air of Scandinavia,EZ,553,0229
Fly Brasil,F1,554,022A
Fly Air,F2,555,022B
Faso Airways,F3,556,022C
Albarka Air,F4,557,022D
International Flying Service,F4,558,022E
Cosmic Air,F5,559,022F
Fly One,F5,560,0230
Global Freightways,F5,561,0231
Faroejet,F6,562,0232
First Cambodia Airlines,F6,563,0233
Flybaboo,F7,564,0234
Air2there,F8,565,0235
Frontier Airlines,F9,566,0236
Epic Holiday,FA,567,0237
Safair,FA,568,0238
Bulgaria Air,FB,569,0239
Finncomm Airlines,FC,570,023A
Thai AirAsia,FD,571,023B
Primaris Airlines,FE,572,023C
Airshop,FF,573,023D
Fly France,FF,574,023E
Tower Air,FF,575,023F
Ariana Afghan Airlines,FG,576,0240
FlyHigh Airlines Ireland (FH),FH,577,0241
Futura International Airways,FH,578,0242
Icelandair,FI,579,0243
Air Pacific,FJ,580,0244
Africa West,FK,581,0245
AirTran Airways,FL,582,0246
Shanghai Airlines,FM,583,0247
Regional Airlines,FN,584,0248
Airlines Of Tasmania,FO,585,0249
Freedom Air,FP,586,024A
Thomas Cook Airlines,FQ,587,024B
Ryanair,FR,588,024C
Servicios de Transportes A,FS,589,024D
Siem Reap Airways,FT,590,024E
Felix Airways,FU,591,024F
Rossiya-Russian Airlines,FV,592,0250
Ibex Airlines,FW,593,0251
Federal Express,FX,594,0252
FOX Linhas Aereas,FX,595,0253
Firefly,FY,596,0254
Northwest Regional Airlines,FY,597,0255
Fly Dubai,FZ,598,0256
Ghana International Airlines,G0,599,0257
Gorkha Airlines,G1,600,0258
Indya Airline Group,G1,601,0259
Avirex,G2,602,025A
City Connexion Airlines,G3,603,025B
Gol Transportes Aéreos,G3,604,025C
Sky Express,G3,605,025D
Allegiant Air,G4,606,025E
Huaxia,G5,607,025F
Air Volga,G6,608,0260
Guine Bissaur Airlines,G6,609,0261
Gandalf Airlines,G7,610,0262
GoJet Airlines,G7,611,0263
Air Service Gabon,G8,612,0264
Enkor JSC,G8,613,0265
Go Air,G8,614,0266
Gujarat Airways,G8,615,0267
Air Arabia,G9,616,0268
Garuda Indonesia,GA,617,0269
ABX Air,GB,618,026A
Airborne Express,GB,619,026B
BRAZIL AIR,GB,620,026C
Gambia International Airlines,GC,621,026D
Lina Congo,GC,622,026E
Air Alpha Greenland,GD,623,026F
GoDutch,GD,624,0270
TransAsia Airways,GE,625,0271
Gulf Air Bahrain,GF,626,0272
Air Comores International,GG,627,0273
Air Guyane,GG,628,0274
Cargo 360,GG,629,0275
Globus,GH,630,0276
Itek Air,GI,631,0277
Compania Mexicargo,GJ,632,0278
Eurofly Service,GJ,633,0279
Genesis,GK,634,027A
Go One Airways,GK,635,027B
Air Greenland,GL,636,027C
Miami Air International,GL,637,027D
Air Slovakia,GM,638,027E
Flitestar,GM,639,027F
German International Air Lines,GM,640,0280
Air Gabon,GN,641,0281
GNB Linhas Aereas,GN,642,0282
Kuzu Airlines Cargo,GO,643,0283
Gadair European Airlines,GP,644,0284
Gestair,GP,645,0285
Palau Trans Pacific Airline,GP,646,0286
Big Sky Airlines,GQ,647,0287
Aurigny Air Services,GR,648,0288
Gemini Air Cargo,GR,649,0289
Air Foyle,GS,650,028A
Grant Aviation,GS,651,028B
GB Airways,GT,652,028C
Gulisano airways,GU,653,028D
Aero Flight,GV,654,028E
Kuban Airlines,GW,655,028F
GermanXL,GX,656,0290
GREAT LAKES (GX),GX,657,0291
Jetx Airlines,GX,658,0292
Pacificair,GX,659,0293
Colorful Guizhou Airlines,GY,660,0294
Gabon Airlines,GY,661,0295
Guyana Airways 2000,GY,662,0296
Tri-MG Intra Asia Airlines,GY,663,0297
Air Rarotonga,GZ,664,0298
Hankook Air US,H1,665,0299
Sky Airline,H2,666,029A
Harbour Air (Priv),H3,667,029B
THREE,H3,668,029C
Héli Sécurité Helicopter Airlines,H4,669,029D
Inter Islands Airlines,H4,670,029E
Hola Airlines,H5,671,029F
I-Fly,H5,672,02A0
Mavial Magadan Airlines,H5,673,02A1
Hageland Aviation Services,H6,674,02A2
Eagle Air,H7,675,02A3
Dalavia,H8,676,02A4
Air D'Ayiti,H9,677,02A5
Izair,H9,678,02A6
PEGASUS AIRLINES-,H9,679,02A7
Hawaiian Airlines,HA,680,02A8
Harbor Airlines,HB,681,02A9
Aero-Tropics Air Services,HC,682,02AA
Himalayan Airlines,HC,683,02AB
Hokkaido International Airlines,HD,684,02AC
Luftfahrtgesellschaft Walter,HE,685,02AD
Hapagfly,HF,686,02AE
Niki,HG,687,02AF
Air Hamburg (AHO),HH,688,02B0
Hope Air,HH,689,02B1
Papillon Grand Canyon Helicopters,HI,690,02B2
Asian Express Airlines,HJ,691,02B3
Four Star Aviation / Four Star Cargo,HK,692,02B4
Yangon Airways,HK,693,02B5
Air Seychelles,HM,694,02B6
Hankook Airline,HN,695,02B7
Heavylift Cargo Airlines,HN,696,02B8
Antinea Airlines,HO,697,02B9
Juneyao Airlines,HO,698,02BA
America West Airlines,HP,699,02BB
Hawaiian Pacific Airlines,HP,700,02BC
Pearl Airways,HP,701,02BD
Phoenix Airways,HP,702,02BE
Harmony Airways,HQ,703,02BF
HQ- Business Express,HQ,704,02C0
China United Airlines,HR,705,02C1
Hahn Air,HR,706,02C2
Heli Securite Helicopter Airline,HS,707,02C3
Aeromist-Kharkiv,HT,708,02C4
Hellenic Imperial Airways,HT,709,02C5
Hainan Airlines,HU,710,02C6
Transavia Holland,HV,711,02C7
Hello,HW,712,02C8
North-Wright Airways,HW,713,02C9
Hong Kong Airlines,HX,714,02CA
Uzbekistan Airways,HY,715,02CB
Sat Airlines,HZ,716,02CC
Iberia Express,I2,717,02CD
ATA Airlines (Iran),I3,718,02CE
International AirLink,I4,719,02CF
Interstate Airline,I4,720,02D0
Indonesia Sky,I5,721,02D1
MexicanaLink,I6,722,02D2
Sky Eyes,I6,723,02D3
Paramount Airways,I7,724,02D4
IzAvia,I8,725,02D5
Air Italy,I9,726,02D6
Indigo,I9,727,02D7
Iraqi Airways,IA,728,02D8
Iberia Airlines,IB,729,02D9
Indian Airlines,IC,730,02DA
Interlink Airlines,ID,731,02DB
Solomon Airlines,IE,732,02DC
Islas Airways,IF,733,02DD
Meridiana,IG,734,02DE
Falcon Air (IH),IH,735,02DF
Falcon Aviation,IH,736,02E0
IBC Airways,II,737,02E1
LSM International ,II,738,02E2
AirLiberté,IJ,739,02E3
Great Wall Airlines,IJ,740,02E4
InteliJet Airways,IJ,741,02E5
Spring Airlines Japan,IJ,742,02E6
T.A.T,IJ,743,02E7
Transport Aérien Transrégional,IJ,744,02E8
Imair Airlines,IK,745,02E9
Lankair,IK,746,02EA
Fly Illi,IL,747,02EB
Illinois Airways,IL,748,02EC
Menajet,IM,749,02ED
MAT Macedonian Airlines,IN,750,02EE
Indonesian Airlines,IO,751,02EF
Isles of Scilly Skybus,IOS,752,02F0
Atyrau Air Ways,IP,753,02F1
Island Spirit,IP,754,02F2
Augsburg Airways,IQ,755,02F3
Iran Air,IR,756,02F4
Island Airlines,IS,757,02F5
Kingfisher Airlines,IT,758,02F6
Wind Jet,IV,759,02F7
AOM French Airlines,IW,760,02F8
Wings Air,IW,761,02F9
Air India Express,IX,762,02FA
Yemenia,IY,763,02FB
Arkia Israel Airlines,IZ,764,02FC
OneJet,J1,765,02FD
Azerbaijan Airlines,J2,766,02FE
Northwestern Air,J3,767,02FF
ALAK,J4,768,0300
Buffalo Airways,J4,769,0301
Alaska Seaplane Service,J5,770,0302
AVCOM,J6,771,0303
Centre-Avia,J7,772,0304
Denim Air ,J7,773,0305
ValueJet,J7,774,0306
Berjaya Air,J8,775,0307
Guinee Airlines,J9,776,0308
Jazeera Airways,J9,777,0309
Air Bosna,JA,778,030A
B&H Airlines,JA,779,030B
Helijet,JB,780,030C
JAL Express,JC,781,030D
Japan Air System,JD,782,030E
Mango,JE,783,030F
Jetairfly,JF,784,0310
L.A.B. Flying Service,JF,785,0311
Jetgo Australia,JG,786,0312
Fuji Dream Airlines,JH,787,0313
Nordeste Linhas Aereas Regionais,JH,788,0314
Midway Airlines,JI,789,0315
TAM Brazilian Airlines,JJ,790,0316
Spanair,JK,791,0317
Japan Airlines,JL,792,0318
Japan Airlines Domestic,JL,793,0319
Air Jamaica,JM,794,031A
Excel Airways,JN,795,031B
JALways,JO,796,031C
Adria Airways,JP,797,031D
Jetstar Airways,JQ,798,031E
Aero California,JR,799,031F
Joy Air,JR,800,0320
Air Koryo,JS,801,0321
Lion Mentari Airlines,JT,802,0322
Air Serbia,JU,803,0323
Jat Airways,JU,804,0324
Bearskin Lake Air Service,JV,805,0325
Arrow Air,JW,806,0326
Jett8 Airlines Cargo,JX,807,0327
Jusur airways,JX,808,0328
Aereonautica militare,JY,809,0329
Air Turks and Caicos,JY,810,032A
Skyways Express,JZ,811,032B
Kostromskie avialinii,K1,812,032C
Eurolot,K2,813,032D
Atlantic Air Cargo,K3,814,032E
Kalitta Air,K4,815,032F
Aban Air,K5,816,0330
