Registration,Aircraft,Brand,Type,Age,Key,Hex
N946AT,Boeing 717-200,Boeing,717-200,25,5741,166D
N946DZ,Boeing 737-900ER,Boeing,737-900ER,11,5742,166E
N946JL,Airbus A321-231,Airbus,A321-200,9,5743,166F
N946LR,Bombardier CRJ-900,Bombardier,CRJ-900,18,5744,1670
N946NK,Airbus A320neo,Airbus,A320neo,3,5745,1671
N946NN,Boeing 737-823,Boeing,737-800,10,5746,1672
N946SW,Bombardier CRJ-200,Bombardier,CRJ-200,21,5747,1673
N946WN,Boeing 737-7H4,Boeing,737-700,14,5748,1674
N947AK,Boeing 737 MAX 9,Boeing,737 MAX 9,1,5749,1675
N947AN,Boeing 737-823,Boeing,737-800,24,5750,1676
N947AT,Boeing 717-200,Boeing,717-200,25,5751,1677
N947DZ,Boeing 737-900ER,Boeing,737-900ER,11,5752,1678
N947JB,Airbus A321-231,Airbus,A321-200,9,5753,1679
N947LR,Bombardier CRJ-900,Bombardier,CRJ-900,17,5754,167A
N947NK,Airbus A320neo,Airbus,A320neo,3,5755,167B
N947NN,Boeing 737-823,Boeing,737-800,10,5756,167C
N947SW,Bombardier CRJ-200,Bombardier,CRJ-200,21,5757,167D
N947WN,Boeing 737-7H4,Boeing,737-700,14,5758,167E
N948AK,Boeing 737 MAX 9,Boeing,737 MAX 9,2,5759,167F
N948AN,Boeing 737-823,Boeing,737-800,24,5760,1680
N948AT,Boeing 717-200,Boeing,717-200,25,5761,1681
N948DZ,Boeing 737-9GPER,Boeing,737-900ER,11,5762,1682
N948JB,Airbus A321-231,Airbus,A321-200,9,5763,1683
N948LR,Bombardier CRJ-900,Bombardier,CRJ-900,17,5764,1684
N948NK,Airbus A320neo,Airbus,A320neo,3,5765,1685
N948NN,Boeing 737-823,Boeing,737-800,10,5766,1686
N948WN,Boeing 737-7H4,Boeing,737-700,14,5767,1687
N949AK,Boeing 737 MAX 9,Boeing,737 MAX 9,2,5768,1688
N949AN,Boeing 737-823,Boeing,737-800,24,5769,1689
N949AT,Boeing 717-200,Boeing,717-200,25,5770,168A
N949DZ,Boeing 737-900ER,Boeing,737-900ER,11,5771,168B
N949JT,Airbus A321-231,Airbus,A321-200,9,5772,168C
N949NK,Airbus A320neo,Airbus,A320neo,3,5773,168D
N949NN,Boeing 737-823,Boeing,737-800,10,5774,168E
N949WN,Boeing 737-7H4,Boeing,737-700,14,5775,168F
N950AN,Boeing 737-823,Boeing,737-800,24,5776,1690
N950AT,Boeing 717-200,Boeing,717-200,24,5777,1691
N950DZ,Boeing 737-9GPER,Boeing,737-900ER,11,5778,1692
N950JT,Airbus A321-231,Airbus,A321-200,9,5779,1693
N950LR,Bombardier CRJ-900,Bombardier,CRJ-900,17,5780,1694
N950NK,Airbus A320neo,Airbus,A320neo,3,5781,1695
N950NN,Boeing 737-823,Boeing,737-800,10,5782,1696
N950WN,Boeing 737-7H4,Boeing,737-700,14,5783,1697
N951AA,Boeing 737-823,Boeing,737-800,24,5784,1698
N951AT,Boeing 717-200,Boeing,717-200,24,5785,1699
N951DX,Boeing 737-900ER,Boeing,737-900ER,11,5786,169A
N951LR,Bombardier CRJ-900,Bombardier,CRJ-900,17,5787,169B
N951NK,Airbus A320neo,Airbus,A320neo,3,5788,169C
N951NN,Boeing 737-823,Boeing,737-800,10,5789,169D
N951WN,Boeing 737-7H4,Boeing,737-700,14,5790,169E
N952AA,Boeing 737-823,Boeing,737-800,24,5791,169F
N952AK,Boeing 737 MAX 9,Boeing,737 MAX 9,2,5792,16A0
N952AT,Boeing 717-200,Boeing,717-200,24,5793,16A1
N952DZ,Boeing 737-900ER,Boeing,737-900ER,11,5794,16A2
N952JB,Airbus A321-231,Airbus,A321-200,9,5795,16A3
N952LR,Bombardier CRJ-900,Bombardier,CRJ-900,9,5796,16A4
N952NK,Airbus A320neo,Airbus,A320neo,2,5797,16A5
N952NN,Boeing 737-823,Boeing,737-800,10,5798,16A6
N952WN,Boeing 737-7H4,Boeing,737-700,14,5799,16A7
N953AK,Boeing 737 MAX 9,Boeing,737 MAX 9,2,5800,16A8
N953AN,Boeing 737-823,Boeing,737-800,23,5801,16A9
N953AT,Boeing 717-200,Boeing,717-200,24,5802,16AA
N953DZ,Boeing 737-9GPER,Boeing,737-900ER,11,5803,16AB
N953LR,Bombardier CRJ-900,Bombardier,CRJ-900,9,5804,16AC
