Name,City,ISO-3166,Country,IATA,Latitude,Longitude,Key,Hex
Héroes De Malvinas Airport,Tandil,AR,Argentina,TDL,-37.2374,-59.2279,140,008C
General Enrique Mosconi Airport,Tartagal,AR,Argentina,TTG,-22.6196,-63.7937,141,008D
Teniente Benjamin Matienzo Airport,Tucuman,AR,Argentina,TUC,-26.8409,-65.1049,142,008E
Domingo Faustino Sarmiento Airport,San Juan,AR,Argentina,UAQ,-31.5715,-68.4182,143,008F
Capitan D Daniel Vazquez Airport,San Julian,AR,Argentina,ULA,-49.3068,-67.8026,144,0090
Malvinas Argentinas Airport,Ushuaia,AR,Argentina,USH,-54.8433,-68.2958,145,0091
Curuzu Cuatia Airport,Curuzu Cuatia,AR,Argentina,UZU,-29.7706,-57.9789,146,0092
Gobernador Castello Airport,Viedma,AR,Argentina,VDM,-40.8692,-63.0004,147,0093
Villa Dolores Airport,Villa Dolores,AR,Argentina,VDR,-31.9452,-65.1463,148,0094
Villa Gesell Airport,Villa Gesell,AR,Argentina,VLG,-37.2354,-57.0292,149,0095
Villa Reynolds Airport,Villa Reynolds,AR,Argentina,VME,-33.7299,-65.3874,150,0096
Fitiuta Airport,Fiti\'uta,AS,American Samoa,FTI,-14.2172,-169.425,151,0097
Pago Pago International Airport,Pago Pago,AS,American Samoa,PPG,-14.331,-170.71,152,0098
Graz Airport,Graz,AT,Austria,GRZ,46.9911,15.4396,153,0099
Hohenems-Dornbirn Airport,Hohenems,AT,Austria,HOH,47.385,9.7,154,009A
Innsbruck Airport,Innsbruck,AT,Austria,INN,47.2602,11.344,155,009B
Klagenfurt Airport,Klagenfurt,AT,Austria,KLU,46.6425,14.3377,156,009C
Linz Hörsching Airport,Linz,AT,Austria,LNZ,48.2332,14.1875,157,009D
Wiener Neustadt East Airport,Wiener Neustadt,AT,Austria,QEW,47.8433,16.2601,158,009E
Sankt Johann Airport,St Johann in Tirol,AT,Austria,QOJ,47.5206,12.4494,159,009F
Bad V�slau Airport,Bad V�slau,AT,Austria,QOV,47.9647,16.259,160,00A0
Zell am See Airport,Zell am See,AT,Austria,QOZ,47.2933,12.7883,161,00A1
Salzburg Airport,Salzburg,AT,Austria,SZG,47.7933,13.0043,162,00A2
Vienna International Airport,Vienna,AT,Austria,VIE,48.1103,16.5697,163,00A3
Alpha Airport,Alpha,AU,Australia,ABH,-23.6461,146.584,164,00A4
Northern Peninsula Airport,Amberley,AU,Australia,ABM,-10.9508,142.459,165,00A5
Albury Airport,Albury,AU,Australia,ABX,-36.0678,146.958,166,00A6
Brisbane Archerfield Airport,Brisbane,AU,Australia,ACF,-27.5703,153.008,167,00A7
Adelaide International Airport,Adelaide,AU,Australia,ADL,-34.945,138.531,168,00A8
